factor,start_date,end_date,trading_days,annual_return,annual_volatility,max_drawdown,sharpe,cumulative_return,benchmark_annual_return,excess_annual_return,average_monthly_turnover,annualized_turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,average_invalid_missing_weight,max_invalid_missing_weight
Revenue_Growth,20220208,20260707,1070,0.14488993431825548,0.2648182951852063,-0.39087681685607534,0.5471296241708815,0.7762851842327501,0.031097814087550413,0.11379212023070506,0.12424499091726345,1.4909398910071614,1120,1012,108,0.00010468008729716374,0.003333333333333333
Dividend_Yield,20220208,20260707,1070,0.12048932186647976,0.19457747811205134,-0.19451588197971748,0.6192357051574775,0.6210139661042777,0.031097814087550413,0.08939150777892935,0.12236567795583919,1.4683881354700703,382,374,8,1.167972580836792e-05,0.0015698587127158557
Debt_to_Equity,20220208,20260707,1070,0.11499889394583884,0.2759050658940987,-0.3446483694117586,0.41680602555510576,0.5875549208303121,0.031097814087550413,0.08390107985828843,0.05211187630725857,0.6253425156871029,1029,944,85,8.1070098957723e-05,0.002224694104560623
Holder_Concen,20220208,20260707,1070,0.09997580147389606,0.2408786609030396,-0.2872750861300216,0.4150463187527397,0.4986978650490914,0.031097814087550413,0.06887798738634565,0.08647510603742198,1.0377012724490637,752,713,39,3.827448667820121e-05,0.0012165450121654502
PE_TTM,20220208,20260707,1070,0.09474587036860749,0.19127100231296698,-0.17909520430160675,0.49534884652081057,0.4686746070705168,0.031097814087550413,0.06364805628105707,0.10445436594305844,1.2534523913167013,597,505,92,0.00010949033460881255,0.002560819462227913
Volatility,20220208,20260707,1070,0.09131265038805636,0.1828666597297292,-0.22434420026124768,0.499340068457604,0.4492171455321772,0.031097814087550413,0.06021483630050595,0.09809293033959354,1.1771151640751225,757,733,24,2.4792073357663225e-05,0.001148105625717566
Gross_Margin,20220208,20260707,1070,0.07959188794613481,0.25305890307109963,-0.3402222479775441,0.31451921659429866,0.38427179787478183,0.031097814087550413,0.0484940738585844,0.0509566519310714,0.6114798231728568,941,801,140,0.0001361314077279556,0.0041279669762641896
Momentum_60D,20220208,20260707,1070,0.06824118030344195,0.2746266570609589,-0.4310694204176341,0.24848709529422866,0.3235209655190445,0.031097814087550413,0.03714336621589154,0.45412615404889073,5.4495138485866885,1538,1520,18,1.6472420236400807e-05,0.000998003992015968
ROE,20220208,20260707,1070,0.06290500251345832,0.220163472844869,-0.336798444343849,0.285719523318849,0.295675599892931,0.031097814087550413,0.031807188425907906,0.12728904118006149,1.527468494160738,629,605,24,2.2420949355497283e-05,0.0010121457489878543
Turnover_20D,20220208,20260707,1070,0.03669232727715466,0.3102771838430286,-0.44412094979118755,0.11825660792292599,0.1653326254065377,0.031097814087550413,0.005594513189604244,0.39289128244234556,4.7146953893081465,1606,1272,334,0.00032016671941996645,0.009174311926605505
Main_Net_In,20220208,20260707,1070,0.018773146240645522,0.2453670851143997,-0.3976293229587585,0.07651045058424503,0.08217444565412246,0.031097814087550413,-0.012324667846904891,0.7477654217109458,8.97318506053135,1101,1090,11,1.0734227260038442e-05,0.0011376564277588168
