factor,period_count,annual_return,annual_volatility,sharpe,max_drawdown,win_rate,cumulative_return
Revenue_Growth,54,0.04786933929799475,0.11714588067806914,0.4086301543077337,-0.23129200260455707,0.46296296296296297,0.23419021477301127
Debt_to_Equity,54,0.02768250352276902,0.13932868743812826,0.1986848798461695,-0.12078223441784097,0.5925925925925926,0.13074670770942753
Dividend_Yield,54,-0.019219236551965224,0.229476981380973,-0.08375235039395014,-0.49247320835378383,0.48148148148148145,-0.0836239577014245
Holder_Concen,54,-0.022475557606040364,0.058813070214496124,-0.38215242843249214,-0.10465474245117912,0.3888888888888889,-0.0972358286133862
Main_Net_In,54,-0.03418051983985271,0.09902908736921456,-0.3451563651436668,-0.22792117890169428,0.48148148148148145,-0.14487062951076846
PE_TTM,54,-0.043558624060867634,0.2054184322282514,-0.2120482742876127,-0.40173297216359427,0.5,-0.1816056922741205
Gross_Margin,54,-0.04698794889921476,0.12440489226836135,-0.37770177717652936,-0.2812867570722324,0.5185185185185185,-0.19472768951605324
Momentum_60D,54,-0.0833544265318974,0.24803802228733812,-0.33605503609174875,-0.5605303541948478,0.5185185185185185,-0.3240625562645427
Volatility,54,-0.08809687531868549,0.2973356205571344,-0.2962876602326133,-0.6120841963041013,0.5370370370370371,-0.33965762514900055
Turnover_20D,54,-0.10291474840843562,0.21790528710696416,-0.47229119483419135,-0.5274026075810319,0.48148148148148145,-0.3865887658476833
ROE,54,-0.10978992666211862,0.15761543309217743,-0.6965683785414004,-0.46292460128866353,0.37037037037037035,-0.4074619152180011
