factor,signal_count,first_signal,last_signal,average_valid_stocks,valid_rows,average_holding_count
Debt_to_Equity,54,20220128,20260630,4985.37037037037,269210,996.7592592592592
Dividend_Yield,54,20220128,20260630,3492.685185185185,188605,698.7592592592592
Gross_Margin,54,20220128,20260630,4890.166666666667,264069,977.7962962962963
Holder_Concen,54,20220128,20260630,4551.018518518518,245755,910.0185185185185
Main_Net_In,54,20220128,20260630,4770.333333333333,257598,953.7037037037037
Momentum_60D,54,20220128,20260630,4935.462962962963,266515,986.7592592592592
PE_TTM,54,20220128,20260630,3920.9814814814813,211733,784.2407407407408
ROE,54,20220128,20260630,4985.722222222223,269229,996.8333333333334
Revenue_Growth,54,20220128,20260630,4985.925925925926,269240,996.9074074074074
Turnover_20D,54,20220128,20260630,4968.648148148148,268307,993.4074074074074
Volatility,54,20220128,20260630,4722.814814814815,255032,944.2592592592592
