factor,period_count,ic_mean,ic_std,ic_win_rate,ic_monthly_icir,ic_annual_icir,rank_ic_mean,rank_ic_std,rank_ic_win_rate,rank_ic_monthly_icir,rank_ic_annual_icir,average_sample_count
Volatility,54,0.028229786273162822,0.12723075773075496,0.5925925925925926,0.22187863042443356,0.7686101220178332,0.07430601095859252,0.14237194626543156,0.7037037037037037,0.5219146953295131,1.8079655390550953,4721.425925925926
Dividend_Yield,54,0.020926445042383366,0.07961429390292948,0.46296296296296297,0.2628478382022472,0.9105316208518718,0.04432756429780138,0.07830306300763178,0.6851851851851852,0.5661025583824354,1.9610367868262093,3492.4074074074074
PE_TTM,54,0.008708813543616266,0.04469969826090366,0.5370370370370371,0.19482935864095932,0.6749086959444,0.03563977813851402,0.058254573197284325,0.7222222222222222,0.611793652968956,2.1193153813807872,3920.5925925925926
ROE,54,0.005259350757672521,0.06856194893542378,0.48148148148148145,0.07670946989307625,0.2657293985529664,0.01197561177296298,0.08644355021968096,0.46296296296296297,0.13853678779422046,0.47990551035395546,4984.407407407408
Revenue_Growth,54,0.00739121990032532,0.04501970098882358,0.5740740740740741,0.1641774542696371,0.5687273845046547,0.008598304471472461,0.055185126812180546,0.5740740740740741,0.1558083666408216,0.5397360145324455,4984.518518518518
Main_Net_In,54,0.003855333398971294,0.03733584246100786,0.5555555555555556,0.10326091886094865,0.35770631580682083,0.008379945272699883,0.04850778809687735,0.5925925925925926,0.1727546359352414,0.5984396133658045,4769.222222222223
Gross_Margin,54,-0.0006649663236429865,0.046300364784417916,0.5370370370370371,-0.014362010466638408,-0.049751463654107445,0.003479299808262592,0.05841169765141833,0.5185185185185185,0.059565120483672664,0.20633963007336542,4888.777777777777
Debt_to_Equity,54,0.00044173334044360124,0.04840916018712656,0.5370370370370371,0.009124994912865093,0.03160990961577976,-0.0003614534291002888,0.039535182675571025,0.46296296296296297,-0.009142576425317305,-0.03167081376146203,4984.111111111111
Holder_Concen,54,-0.0006240111479204007,0.038174883877390396,0.5555555555555556,-0.016346117775357005,-0.05662461298684616,-0.0067740098834953525,0.03881768547237145,0.48148148148148145,-0.17450834074887758,-0.6045146250431964,4549.87037037037
Momentum_60D,54,-0.020973054333474087,0.12032384661359276,0.4444444444444444,-0.17430505193892962,-0.6038104119483163,-0.034074530275904735,0.10687969621203393,0.42592592592592593,-0.3188120053064688,-1.104397182507445,4934.074074074074
Turnover_20D,54,-0.04392849288004989,0.1004890842386406,0.3888888888888889,-0.43714691215345225,-1.514321324443256,-0.07852307034125376,0.09225494702461927,0.24074074074074073,-0.8511529503160302,-2.948480309919025,4967.259259259259
