composite_factor,trade_date,long_short_return
Composite_Equal,20220128,-0.03246083059821858
Composite_Equal,20220228,0.0117518471422162
Composite_Equal,20220331,0.030041748234912097
Composite_Equal,20220429,-0.06393074778741684
Composite_Equal,20220531,-0.038803429379706246
Composite_Equal,20220630,-0.015461604835074996
Composite_Equal,20220729,-0.027127981701983023
Composite_Equal,20220831,0.0007102497514173134
Composite_Equal,20220930,-0.001036384826251277
Composite_Equal,20221031,-0.04878632194729403
Composite_Equal,20221130,-0.014221228753307918
Composite_Equal,20221230,-0.004121512469494409
Composite_Equal,20230131,-0.007292002290022425
Composite_Equal,20230228,0.026899538869062323
Composite_Equal,20230331,0.050435702827586554
Composite_Equal,20230428,0.0271251305310723
Composite_Equal,20230531,-0.02372789977262682
Composite_Equal,20230630,-0.043135073643626426
Composite_Equal,20230731,0.027411299334202527
Composite_Equal,20230831,-0.027887750388555947
Composite_Equal,20230928,-0.02986346157389007
Composite_Equal,20231031,0.015931235560625735
Composite_Equal,20231130,0.12541525009143828
Composite_Equal,20231229,0.016435292685492514
Composite_Equal,20240131,-0.013416477454074885
Composite_Equal,20240229,-0.03378537265986998
Composite_Equal,20240329,0.05275276670387693
Composite_Equal,20240430,0.03695491351694482
Composite_Equal,20240531,0.04070815060984815
Composite_Equal,20240628,-0.07745366538819609
Composite_Equal,20240731,-0.04104647797690572
Composite_Equal,20240830,-0.04069955053918123
Composite_Equal,20240930,-0.05646034497535912
Composite_Equal,20241031,0.001913333513193033
Composite_Equal,20241129,-0.007291345695690454
Composite_Equal,20241231,0.026779805854694708
Composite_Equal,20250127,-0.018277831376956655
Composite_Equal,20250228,0.04193102731669346
Composite_Equal,20250331,0.004047095453145201
Composite_Equal,20250430,-0.01677170795786299
Composite_Equal,20250530,-0.015873605595103965
Composite_Equal,20250630,-0.009628992245555697
Composite_Equal,20250731,0.017823922143430024
Composite_Equal,20250829,0.0006557231917664677
Composite_Equal,20250930,-0.01074496265730238
Composite_Equal,20251031,-0.0060555682088409245
Composite_Equal,20251128,0.01738986666066853
Composite_Equal,20251231,0.035873746435556866
Composite_Equal,20260130,-0.0024792718536492953
Composite_Equal,20260227,-0.012784349562508977
Composite_Equal,20260331,-0.01584162396508848
Composite_Equal,20260430,0.04260515299440784
Composite_Equal,20260529,0.05962376329946742
Composite_Equal,20260630,0.0013771397210906727
Composite_RollingRankIC,20220128,-0.03246083059821858
Composite_RollingRankIC,20220228,0.0117518471422162
Composite_RollingRankIC,20220331,0.030041748234912097
Composite_RollingRankIC,20220429,-0.06393074778741684
Composite_RollingRankIC,20220531,-0.038803429379706246
Composite_RollingRankIC,20220630,-0.015461604835074996
Composite_RollingRankIC,20220729,0.01763206372581925
Composite_RollingRankIC,20220831,0.03197482510402286
Composite_RollingRankIC,20220930,-0.02632039442958318
Composite_RollingRankIC,20221031,0.00380060615269167
Composite_RollingRankIC,20221130,0.0011188570129788064
Composite_RollingRankIC,20221230,-0.005824960280581229
Composite_RollingRankIC,20230131,0.047932680343495314
Composite_RollingRankIC,20230228,0.04267367328794201
Composite_RollingRankIC,20230331,0.08432712243001701
Composite_RollingRankIC,20230428,-0.00917242432261759
Composite_RollingRankIC,20230531,-0.01745522962544782
Composite_RollingRankIC,20230630,0.08306010334789833
Composite_RollingRankIC,20230731,0.0024606179925771507
Composite_RollingRankIC,20230831,0.01885857362033114
Composite_RollingRankIC,20230928,0.004933583139599879
Composite_RollingRankIC,20231031,0.031302613598988976
Composite_RollingRankIC,20231130,0.03645560822212493
Composite_RollingRankIC,20231229,0.06547137012996776
Composite_RollingRankIC,20240131,-0.07609277554838735
Composite_RollingRankIC,20240229,0.0026217873454819143
Composite_RollingRankIC,20240329,0.07006146859007688
Composite_RollingRankIC,20240430,0.027430676363699488
Composite_RollingRankIC,20240531,0.02308500089115039
Composite_RollingRankIC,20240628,-0.05239496903131345
Composite_RollingRankIC,20240731,0.011312948823722212
Composite_RollingRankIC,20240830,-0.12089357928466532
Composite_RollingRankIC,20240930,-0.05897403878651021
Composite_RollingRankIC,20241031,-0.012061497985435113
Composite_RollingRankIC,20241129,0.1038735814106718
Composite_RollingRankIC,20241231,0.026939112621826335
Composite_RollingRankIC,20250127,-0.04521117136952402
Composite_RollingRankIC,20250228,0.07250592596003559
Composite_RollingRankIC,20250331,-0.023138379224302806
Composite_RollingRankIC,20250430,-0.001986219780641653
Composite_RollingRankIC,20250530,-0.0076788412552669105
Composite_RollingRankIC,20250630,0.034734925126588254
Composite_RollingRankIC,20250731,-0.03574524883253048
Composite_RollingRankIC,20250829,0.025248237232712186
Composite_RollingRankIC,20250930,0.011452682915782678
Composite_RollingRankIC,20251031,0.008574882005472278
Composite_RollingRankIC,20251128,-0.012508886158093774
Composite_RollingRankIC,20251231,0.03807584147148559
Composite_RollingRankIC,20260130,-0.005769318303861688
Composite_RollingRankIC,20260227,0.031709750770373066
Composite_RollingRankIC,20260331,-0.06701868842479816
Composite_RollingRankIC,20260430,0.01900866647709646
Composite_RollingRankIC,20260529,-0.09101283657579178
Composite_RollingRankIC,20260630,0.06740155012159316
