factor,start_date,end_date,trading_days,annual_return,annual_volatility,max_drawdown,sharpe,cumulative_return,benchmark_annual_return,excess_annual_return,average_monthly_turnover,annualized_turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,average_invalid_missing_weight,max_invalid_missing_weight
PE_TTM,20220208,20260707,1070,0.19299645064045734,0.26451963735834566,-0.30719220176297235,0.729611051065386,1.1154963023844116,0.031097814087550413,0.16189863655290693,0.1707801348683297,2.0493616184199563,661,537,124,0.00014808837997560526,0.00261437908496732
Volatility,20220208,20260707,1070,0.15084085534485125,0.2199936626808685,-0.30905089116738194,0.6856600026868362,0.8158199288396921,0.031097814087550413,0.11974304125730084,0.1259182965483189,1.511019558579827,782,748,34,3.545675563929596e-05,0.0012285012285012285
Dividend_Yield,20220208,20260707,1070,0.14470549937521104,0.2113227273937945,-0.23340546296135478,0.6847607030244127,0.7750705043240642,0.031097814087550413,0.11360768528766063,0.13714355723392063,1.6457226868070476,365,353,12,1.681477767239175e-05,0.0015698587127158557
Revenue_Growth,20220208,20260707,1070,0.13859026187033852,0.2616447631932211,-0.3487440797918784,0.5296886518152534,0.7351540812700954,0.031097814087550413,0.1074924477827881,0.1335982054431871,1.603178465318245,1202,1056,146,0.00014194510310380307,0.005555555555555556
Debt_to_Equity,20220208,20260707,1070,0.11519698820260649,0.24272441302379905,-0.29520939566823745,0.47459992494167225,0.58875285973863,0.031097814087550413,0.08409917411505607,0.06972257329927387,0.8366708795912864,1118,984,134,0.000131205502159936,0.0055617352614015575
Holder_Concen,20220208,20260707,1070,0.10957203672485072,0.24631078490507624,-0.2956832992546312,0.4448527772223933,0.5550046784228988,0.031097814087550413,0.0784742226373003,0.09230855307938707,1.1077026369526448,731,685,46,4.479235894355511e-05,0.0012165450121654502
Gross_Margin,20220208,20260707,1070,0.10782528868694752,0.2526222437445385,-0.31976550789083147,0.4268242063275499,0.5446370374579617,0.031097814087550413,0.0767274745993971,0.06153132431417866,0.738375891770144,1066,893,173,0.00017001986855414838,0.003095975232198142
ROE,20220208,20260707,1070,0.10686971555048186,0.23924981274753662,-0.27456583580093674,0.44668672599235804,0.5389877417125968,0.031097814087550413,0.07577190146293145,0.14734189238057485,1.7681027085668983,726,608,118,0.00011665303004824069,0.0033149171270718232
Momentum_60D,20220208,20260707,1070,0.08049663843830235,0.2645993882760806,-0.3662508441358633,0.30422080324053086,0.389204268469475,0.031097814087550413,0.049398824350751935,0.45274987964026203,5.432998555683144,1588,1566,22,2.0144638072362835e-05,0.000998003992015968
Main_Net_In,20220208,20260707,1070,0.05898099619893227,0.2393603612033295,-0.35301458631360394,0.2464108756454861,0.27548673257439416,0.031097814087550413,0.027883182111381855,0.7171476982712262,8.605772379254713,1194,1016,178,0.0001829822040462786,0.004602991944764097
Turnover_20D,20220208,20260707,1070,0.03258326258354649,0.29354053123067253,-0.42905548121961656,0.11100089805976958,0.14584622085852805,0.031097814087550413,0.0014854484959960779,0.3983074437128877,4.779689324554652,1382,1133,249,0.0002388850528907514,0.0050968399592252805
